Number,Word
350,צנס
351,גנמ
352,גנב
353,גנג
354,צנק
355,צננ
356,צהל
357,גנז
358,צנח
359,גנט
360,גלס
361,גלמ
362,צלב
363,גלצ
364,גלק
365,גפנ
366,צלל
367,גלר
368,גלש
369,גלט
370,גרס
371,גרי
372,גרב
373,גרג
374,גרד
375,גזע
376,גרפ
377,גזר
378,גרש
379,גרט
380,גחס
381,גשמ
382,צחב
383,גחצ
384,צחק
385,צחנ
386,גחל
387,גשר
388,גשש
389,גחט
390,גטס
391,גטמ
392,גטו
393,גתצ
394,גטק
395,גטנ
396,גטל
397,גטר
398,גטש
399,צטט
400,קסס
401,קסמ
402,קסב
403,קסג
404,דסק
405,קסנ
406,קסל
407,קסר
408,קסח
409,קסט
410,קיס
411,קימ
412,דמב
413,קיצ
414,קיק
415,דמנ
416,דיל
417,קמר
418,קמח
419,קמט
420,דוס
421,דוי
422,דוב
423,דוצ
424,דוד
425,קבה
426,קבל
427,דבר
428,דבש
429,דבט
430,דגס
431,דגמ
432,קצב
433,קצצ
434,דצק
435,דגנ
436,דגל
437,קצר
438,קצח
439,קצת
440,קקס
441,קקי
442,קדו
443,קדצ
444,קדק
445,קדנ
446,דקל
447,קקר
448,קדש
449,קדת
450,קנס
451,קאי
452,קנב
453,קנג
454,דנק
455,דנה
456,קהל
457,דהר
458,קאש
459,קנט
460,דלס
461,דלי
462,קלב
463,קפצ
464,דלק
465,קפה
466,קלפ
467,קלר
468,דלש
469,דלת
470,קרס
471,קזמ
472,קרב
473,קרצ
474,דרק
475,קרנ
476,קרפ
477,קזז
478,קרח
479,קרט
480,דחס
481,קשמ
482,קשב
483,קחצ
484,דחק
485,דשנ
486,דחפ
487,קשר
488,קשש
489,קשת
490,קטס
491,דתי
492,קתב
493,קטג
494,קטק
495,קטנ
496,קטל
497,קטר
498,קטש
499,קטט
500,נסס
501,אסמ
502,עסב
503,נסג
504,נסק
505,נסע
506,נסל
507,אסר
508,נסח
509,נסט
510,נמס
511,אמי
512,נמו
513,ניצ
514,נמק
515,אמא
516,איל
517,נמר
518,איש
519,אמת 
520,אבס
